id,n_layer,n_head,wd,ood_acc,ood_acc_mean_ablated,delta_mean,delta_uniform,csv_ood_acc,sign,viol,head_type
4oivv313,3,4,0.0,0.98,0.509,-0.471,-0.492,0.98,False,True,violation-detecting
vsaf48zy,3,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
dt9aisz4,3,4,0.001,0.318,0.318,0.0,0.0,0.318,False,False,neither
iuxukbwt,3,4,0.0,0.999,0.48,-0.519,-0.513,0.999,False,True,violation-detecting
768fnsfd,3,4,0.01,0.223,0.223,0.0,0.0,0.223,False,False,neither
t71s51mn,3,4,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
8n3bq8n7,3,4,0.0,0.204,0.345,0.141,0.13500000000000004,0.204,False,True,violation-detecting
31r8idn1,3,4,0.01,0.076,0.076,0.0,0.0,0.076,False,False,neither
c7dhentq,3,4,0.001,0.216,0.216,0.0,0.0,0.216,False,False,neither
sg55mwgp,3,4,0.0,0.251,0.376,0.125,0.127,0.251,False,False,neither
l9uslyu5,3,4,0.01,0.028,0.028,0.0,0.0,0.028,False,False,neither
2aavkrzj,3,4,0.001,0.221,0.222,0.0010000000000000009,0.0010000000000000009,0.221,False,False,neither
pf2l4buj,3,4,0.0,0.55,0.374,-0.17600000000000005,-0.20400000000000007,0.55,False,False,neither
rk7gjukg,3,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
slwb9bir,3,4,0.001,0.91,0.859,-0.051000000000000045,-0.06400000000000006,0.91,False,True,violation-detecting
1u92pvuk,3,4,0.0,0.656,0.529,-0.127,-0.131,0.656,False,True,violation-detecting
ewce9dtl,3,4,0.01,0.552,0.552,0.0,0.0,0.552,False,False,neither
yeabbkaf,3,4,0.001,0.465,0.465,0.0,0.0,0.465,False,False,neither
rcyp7nir,3,4,0.0,0.571,0.432,-0.13899999999999996,-0.13399999999999995,0.571,False,True,violation-detecting
6z363onf,3,4,0.01,0.478,0.473,-0.0050000000000000044,-0.0050000000000000044,0.478,False,False,neither
pifwd2xy,3,4,0.001,0.225,0.224,-0.0010000000000000009,-0.0010000000000000009,0.225,False,False,neither
4kto39mz,3,4,0.0,0.832,0.555,-0.2769999999999999,-0.2919999999999999,0.832,False,False,neither
fgha5oow,3,4,0.01,0.002,0.002,0.0,0.0,0.002,False,False,neither
6v98mwa5,3,4,0.001,0.001,0.001,0.0,0.0,0.001,False,False,neither
vrydfu8l,3,4,0.0,0.001,0.008,0.007,0.008,0.001,False,False,neither
3s8ung8y,3,4,0.01,0.022,0.022,0.0,0.0,0.022,False,False,neither
d2yrcsa1,3,4,0.001,0.196,0.195,-0.0010000000000000009,-0.0010000000000000009,0.196,False,False,neither
bpeprx1a,3,4,0.0,0.865,0.7,-0.16500000000000004,-0.16300000000000003,0.865,False,False,neither
